"logFC"	"logCPM"	"PValue"	"FDR"
"AB_025230_T.1"	6.49499667872124	1.26497015508221	0.00138160895210593	0.363441643423532
"AB_037360_T.1"	2.56829142695401	-0.273133275552464	0.00138537331470323	0.363441643423532
"AB_030682_T.1"	-4.29055737337857	-0.361002435730165	0.00138804992927396	0.363441643423532
"AB_038608_T.1"	2.99931190696451	1.59192589369784	0.00139186714855957	0.363441643423532
"AB_002094_T.1"	1.48260689163496	2.71767889856962	0.00144638467265667	0.371672999128431
"AB_011310_T.1"	0.984270718568463	3.97418785646135	0.00145480633331416	0.371672999128431
"AB_036516_T.1"	3.13814762305604	1.04436349392766	0.00145722200421021	0.371672999128431
"AB_037020_T.1"	-0.838224627311523	6.56704688656578	0.00147789434572577	0.371672999128431
"AB_040198_T.1"	-1.80732093329856	1.27152150763124	0.00148109822139687	0.371672999128431
"AB_034945_T.1"	1.66046072979161	0.206766648972383	0.00149013974578125	0.371672999128431
"AB_003689_T.1"	1.17080143761638	7.53969781156475	0.00149258325226438	0.371672999128431
"AB_030297_T.1"	1.91112067419297	0.131415883116149	0.00152688258346369	0.377712579084331
"AB_008969_T.1"	-0.74687268335852	4.99234861543822	0.00156019749824424	0.383431281905109
"AB_013124_T.1"	1.38705569139259	4.64596048729843	0.00158274686502056	0.386447174491155
"AB_037950_T.1"	-1.86627892967034	1.23146552985129	0.00159580784844001	0.387122392962535
"AB_042595_T.1"	-3.24577603471326	1.27282213691566	0.00162577529782563	0.3918639549586
"AB_025657_T.1"	-2.72063591244419	-0.325144763745178	0.00168699456056716	0.403389881788343
"AB_021440_T.1"	-1.94742805471007	1.0466732525941	0.00169505069871967	0.403389881788343
"AB_045329_T.1"	-2.94711371860222	0.632093588618217	0.00177297250767026	0.419280121137796
"AB_027616_T.1"	2.38312340376097	0.511188396544276	0.00179375828811818	0.419307488625256
"AB_045322_T.1"	-1.14892078091472	5.34720016007113	0.00180228091987835	0.419307488625256
"AB_045108_T.1"	-1.19766846687984	3.26618694717194	0.00181109587299935	0.419307488625256
"AB_040347_T.1"	1.70357129973023	2.74873973782307	0.00181769422743855	0.419307488625256
